,volume,CloudPrcYear
283,101568.6,none
284,806.74,1.1698
285,102375.34000000001,none
286,856.47,4.8748
287,103231.81000000001,none
288,759.14,51.3758
289,103990.95000000001,none
290,737.7,2.6724
291,104728.65000000001,none
292,714.26,32.558
293,105442.91,none
294,703.0,33.6099
295,106145.91,none
296,716.27,0.1195
297,106862.18000000001,none
298,760.16,0.7127
299,107622.34000000001,none
300,733.11,0.0
301,108355.45000000001,none
302,741.74,0.41609999999999997
303,109097.19000000002,none
304,737.68,0.24270000000000003
305,109834.87000000001,none
306,730.6,0.3422
307,110565.47000000002,none
308,769.02,2.3555
309,111334.49000000002,none
310,761.66,2.593
311,112096.15000000002,none
312,764.09,1.5556
313,112860.24000000002,none
314,771.59,6.2091
315,113631.83000000002,none
316,746.49,0.4186000000000001
317,114378.32000000002,none
318,776.92,0.9459999999999998
319,115155.24000000002,none
320,767.41,0.2438
321,115922.65000000002,none
322,764.75,0.0546
323,116687.40000000002,none
324,731.02,0.0223
325,117418.42000000003,none
326,730.79,0.0
327,118149.21000000002,none
328,785.87,5.9436
329,118935.08000000002,none
330,751.31,0.5046
331,119686.39000000001,none
332,760.05,1.4496
333,120446.44000000002,none
334,797.13,10.3214
335,121243.57000000002,none
336,785.41,54.4271
337,122028.98000000003,none
338,581.69,2.9572
339,122610.67000000003,none
340,611.07,54.0258
341,123221.74000000003,none
342,656.75,22.4473
343,123878.49000000003,none
344,555.0,0.2735
345,124433.49000000003,none
346,651.33,0.0048
347,125084.82000000004,none
348,703.93,1.3912
349,125788.75000000003,none
350,668.83,3.4141999999999997
351,126457.58000000003,none
352,585.89,1.5855
353,127043.47000000003,none
354,563.13,0.0018999999999999998
355,127606.60000000003,none
356,664.8,1.5196
357,128271.40000000004,none
358,595.26,3.5795
359,128866.66000000003,none
360,605.04,0.7225
361,129471.70000000003,none
362,668.11,11.0197
363,130139.81000000003,none
364,556.16,0.0013
365,130695.97000000003,none
366,653.97,0.3246
367,131349.94000000003,none
368,664.77,0.0
369,132014.71000000002,none
370,693.45,3.8537999999999997
371,132708.16000000003,none
372,589.27,0.0
373,133297.43000000002,none
374,613.74,0.2899
375,133911.17,none
376,554.7,0.5262
377,134465.87000000002,none
378,635.57,5.0994
379,135101.44000000003,none
380,648.17,3.8076000000000003
381,135749.61000000004,none
382,752.63,53.8783
383,136502.24000000005,none
384,582.74,12.953599999999998
385,137084.98000000004,none
386,547.02,22.69
387,137632.00000000003,none
388,550.5,27.9155
389,138182.50000000003,none
390,770.29,19.7773
391,138952.79000000004,none
392,509.04,4.0505
393,139461.83000000005,none
394,541.79,1.2338
395,140003.62000000005,none
396,549.3,0.052
397,140552.92000000004,none
398,545.75,0.8667
399,141098.67000000004,none
400,545.63,1.6619
401,141644.30000000005,none
402,542.7,2.1917
403,142187.00000000006,none
404,570.5,6.476
405,142757.50000000006,none
406,576.87,10.5873
407,143334.37000000005,none
408,611.99,15.7459
409,143946.36000000004,none
410,625.82,26.941300000000002
411,144572.18000000005,none
412,580.61,10.249
413,145152.79000000004,none
414,554.8,26.8436
415,145707.59000000003,none
416,578.05,0.6326
417,146285.64,none
418,545.18,0.23949999999999996
419,146830.82,none
420,556.13,1.5773
421,147386.95,none
422,548.47,0.0
423,147935.42,none
424,794.2,5.8873
425,148729.62000000002,none
426,545.19,1.7186
427,149274.81000000003,none
428,550.7,5.7128
429,149825.51000000004,none
430,856.72,4.5503
431,150682.23000000004,none
432,584.52,6.5052
433,151266.75000000003,none
434,513.15,0.3143
435,151779.90000000002,none
436,481.22,9.9408
437,152261.12000000002,none
438,509.8,1.1068
439,152770.92,none
440,490.19,0.0
441,153261.11000000002,none
442,497.34,0.0
443,153758.45,none
444,564.71,0.0
445,154323.16,none
446,591.05,0.0044
447,154914.21,none
448,472.75,0.0553
449,155386.96,none
